businessunit,calendarid,calendar,calendarid
dow_caseproduct,owningteam,team,teamid
dow_caseproduct,owninguser,systemuser,systemuserid
dow_caseproduct,transactioncurrencyid,transactioncurrency,transactioncurrencyid
dow_caseproduct,ownerid,systemuser,
dow_caseproduct,ownerid,team,
dow_contractglobalbusinessunit,createdby,systemuser,systemuserid
dow_contractglobalbusinessunit,createdonbehalfby,systemuser,systemuserid
dow_contractglobalbusinessunit,dow_globalbusinessunit,businessunit,businessunitid
dow_contractglobalbusinessunit,modifiedby,systemuser,systemuserid
dow_contractglobalbusinessunit,modifiedonbehalfby,systemuser,systemuserid
dow_contractglobalbusinessunit,owningbusinessunit,businessunit,businessunitid
